SKU,Name,Character,Additional Characters,Faction,Series,Team,Line,Company,Type,Category,Price,Qty,Order Date,Ship Date,Vendor,Order #,notes,Item Total,0
,Generations 2014 Voyager Series 02 Revision 03 - Set of 2 (Roadbuster & Sky Byte),Roadbuster,,Autobot,IDW,,Thrilling 30,Hasbro,first,Voyager,$29.00,1,9/16/2014,9/17/2014,BBTS,9457543,,$29.00,"$3,916.40"
,Generations 2014 Voyager Series 02 Revision 03 - Set of 2 (Roadbuster & Sky Byte),Sky Byte,,Predacon,RID2K,,Thrilling 30,Hasbro,first,Voyager,$29.00,1,9/16/2014,9/17/2014,BBTS,9457543,,$29.00,"$3,945.40"
MP-20,MP-20 Masterpiece Wheeljack,Wheeljack,,Autobot,G1,,Masterpiece,Takara,first,MP,$79.99,1,9/22/2014,9/23/2014,BBTS,9497548,,$79.99,"$4,025.39"
,Generations Leader Jetfire,Jetfire,,Autobot,IDW,,Thrilling 30,Hasbro,first,Leader,$46.99,1,9/30/2014,9/30/2014,BBTS,9532520,,$46.99,"$4,072.38"
MN-03,MN-03 Mecha Nations Megatron,Megatron,,Decepticon,G1,,,Kids Logic,second,Figure,$129.99,1,10/2/2014,10/2/2014,BBTS,9550860,,$129.99,"$4,202.37"
WB01-C,Warbotron WB01-C - Sly Strike,Swindle,,Decepticon,G1,Combaticon,,Warbotron,third,3PMP,$88.99,1,10/15/2014,10/16/2014,BBTS,9615841,,$88.99,"$4,291.36"
WB01-A,Warbotron WB01-A - Air Burst (v1),Blast Off,,Decepticon,G1,Combaticon,,Warbotron,third,3PMP,$88.99,1,10/15/2014,10/16/2014,BBTS,9615841,,$88.99,"$4,380.35"
WB01-B,Warbotron WB01-B - Heavy Noisy,Brawl,,Decepticon,G1,Combaticon,,Warbotron,third,3PMP,$88.99,1,10/15/2014,10/16/2014,BBTS,9615841,,$88.99,"$4,469.34"
MP-14,MP-14 Masterpiece Red Alert - 2nd Production Run with Collector Coin,Red Alert,,Autobot,G1,,Masterpiece,Takara,first,MP,$79.99,1,10/22/2014,10/22/2014,BBTS,9641839,,$79.99,"$4,549.33"
MP-13B,Transformers Masterpiece MP13B Ratbat Cassettes New In Stock ( item: 161471883431 transaction: 1172704418006 ),Ratbat,,Decepticon,,,,KO/No Brand,fourth,3PMP,$19.99,1,11/3/2014,11/4/2014,Ebay,1172704418006,,$19.99,"$4,569.32"
IF-EX02,IF-EX02 - Turrets & Manacle Set,Six-Gun,Slammer,Autobot,G1,,,Iron Factory,third,Legends,$54.99,1,11/24/2014,11/25/2014,BBTS,9804092,,$54.99,"$4,624.31"
MBC002,MBC002 Military Titans with MBC002-P Bonus Parts,Onslaught,,Decepticon,WFC,Combaticon,,Microblaze Creations,third,Upgrade,$109.99,1,12/1/2014,12/2/2014,BBTS,9855696,,$109.99,"$4,734.30"
MP-21,MP-21 Masterpiece Bumblebee,Bumblebee,,Autobot,G1,,Masterpiece,Takara,first,MP,$74.99,1,12/1/2014,12/2/2014,BBTS,9855696,,$74.99,"$4,809.29"
,Generations 2014 Voyager Series 04 - Brainstorm,Brainstorm,,Autobot,IDW,,Thrilling 30,Hasbro,first,Voyager,$26.99,1,12/3/2014,12/4/2014,BBTS,9879223,,$26.99,"$4,836.28"
LER-02,Lost Exo-Realm - LER-02 Cubrar & Tekour,Slag,,Autobot,LER,Dinobots,Lost Exo Realm,FansProject,third,3PMP,$104.99,1,12/10/2014,12/11/2014,BBTS,9939689,,$104.99,"$4,941.27"
,Generations 2014 Series 05 - Set of 2 - Arcee & Chromia,Arcee,,Autobot,IDW,,Thrilling 30,Hasbro,first,Deluxe,$16.00,1,12/16/2014,12/17/2014,BBTS,9990355,,$16.00,"$4,957.26"
,Generations 2014 Series 05 - Set of 2 - Arcee & Chromia,Chromia,,Autobot,IDW,,Thrilling 30,Hasbro,first,Deluxe,$16.00,1,12/16/2014,12/17/2014,BBTS,9990355,,$16.00,"$4,973.26"
,"Generations Legends Combiner Wars 2015 Series 01 - Set of 4 (Bombshell, Autobot Powerglide, Thundercracker, Windcharger)",Bombshell,,Decepticon,G1,Insecticon,Combiner Wars,Hasbro,first,Legends,$10.50,1,12/17/2014,12/18/2014,BBTS,10014302,,$10.50,"$4,983.76"
,"Generations Legends Combiner Wars 2015 Series 01 - Set of 4 (Bombshell, Autobot Powerglide, Thundercracker, Windcharger)",Powerglide,,Autobot,G1,,Combiner Wars,Hasbro,first,Legends,$10.50,1,12/17/2014,12/18/2014,BBTS,10014302,,$10.50,"$4,994.25"
,"Generations Legends Combiner Wars 2015 Series 01 - Set of 4 (Bombshell, Autobot Powerglide, Thundercracker, Windcharger)",Thundercracker,,Decepticon,G1,Seeker,Combiner Wars,Hasbro,first,Legends,$10.50,1,12/17/2014,12/18/2014,BBTS,10014302,,$10.50,"$5,004.75"
,"Generations Legends Combiner Wars 2015 Series 01 - Set of 4 (Bombshell, Autobot Powerglide, Thundercracker, Windcharger)",Windcharger,,Autobot,G1,,Combiner Wars,Hasbro,first,Legends,$10.50,1,12/17/2014,12/18/2014,BBTS,10014302,,$10.50,"$5,015.25"
,"Generations Voyager Combiner Wars 2015 Series 01 - Set of 2 (Optimus Prime, Silverbolt)",Optimus Prime,,Autobot,G1,,Combiner Wars,Hasbro,first,Voyager,$25.00,1,12/17/2014,12/18/2014,BBTS,10014302,,$25.00,"$5,040.24"
,"Generations Voyager Combiner Wars 2015 Series 01 - Set of 2 (Optimus Prime, Silverbolt)",Silverbolt,,Maximal,BW,Aerialbots,Combiner Wars,Hasbro,first,Voyager,$25.00,1,12/17/2014,12/18/2014,BBTS,10014302,,$25.00,"$5,065.24"
R-01C,Reformatted R-01C Terminus Hexatron Continuum,Sixshot,,Decepticon,IDW,,Reformatted,Mastermind Creations,third,3PMP,$139.99,1,12/18/2014,12/19/2014,BBTS,10021946,,$139.99,"$5,205.23"
MP-22,"MP-22 Masterpiece Ultra Magnus With Trailer ""Perfect Edition""",Ultra Magnus,,Autobot,G1,,Masterpiece,Takara,first,MP,$189.99,1,12/30/2014,12/31/2014,BBTS,10106856,,$189.99,"$5,395.22"
,"Generations Deluxe Combiner Wars 2015 Series 01 - Set of 4 (Alpha Bravo, Decepticon Dragstrip, Firefly, Skydive)",Alpha Bravo,,Autobot,CW,Aerialbots,Combiner Wars,Hasbro,first,Deluxe,$16.50,1,12/31/2014,1/2/2015,BBTS,10114577,,$16.50,"$5,411.72"
,"Generations Deluxe Combiner Wars 2015 Series 01 - Set of 4 (Alpha Bravo, Decepticon Dragstrip, Firefly, Skydive)",Dragstrip,,Decepticon,G1,Stunticon,Combiner Wars,Hasbro,first,Deluxe,$16.50,1,12/31/2014,1/2/2015,BBTS,10114577,,$16.50,"$5,428.21"
,"Generations Deluxe Combiner Wars 2015 Series 01 - Set of 4 (Alpha Bravo, Decepticon Dragstrip, Firefly, Skydive)",Fireflight,,Autobot,G1,Aerialbots,Combiner Wars,Hasbro,first,Deluxe,$16.50,1,12/31/2014,1/2/2015,BBTS,10114577,,$16.50,"$5,444.71"
,"Generations Deluxe Combiner Wars 2015 Series 01 - Set of 4 (Alpha Bravo, Decepticon Dragstrip, Firefly, Skydive)",Skydive,,Autobot,G1,Aerialbots,Combiner Wars,Hasbro,first,Deluxe,$16.50,1,12/31/2014,1/2/2015,BBTS,10114577,,$16.50,"$5,461.21"
PE-DX03 EW,PE-DX03 EW - Warden Add on Parts,,,,,,,Perfect Effect,third,Upgrade,$35.99,1,1/5/2015,1/6/2015,BBTS,10139602,,$35.99,"$5,497.20"
,Generations Legends Combiner Wars 2015 Series 02 - Set of 2 (Huffer & Blackjack),Huffer,,Autobot,G1,,Combiner Wars,Hasbro,first,Legends,$12.00,1,2/12/2015,2/13/2015,BBTS,10323765,,$12.00,"$5,509.19"
,Generations Legends Combiner Wars 2015 Series 02 - Set of 2 (Huffer & Blackjack),Blackjack,,Decepticon,G1,Stunticon,Combiner Wars,Hasbro,first,Legends,$12.00,1,2/12/2015,2/13/2015,BBTS,10323765,,$12.00,"$5,521.19"
,Generations Voyager Combiner Wars 2015 Series 02 - Motormaster,Motormaster,,Decepticon,G1,Stunticon,Combiner Wars,Hasbro,first,Retail,$29.99,1,2/12/2015,2/13/2015,BBTS,10323765,,$29.99,"$5,551.18"
WB01-D,Warbotron WB01-D - Whirlwind,Vortex,,Decepticon,G1,Aerialbots,,Warbotron,third,3PMP,$88.99,1,2/13/2015,2/16/2015,BBTS,10334111,,$88.99,"$5,640.17"
DW-M03,DW-M03 Sword - Silver,,,,,,,Dr. Wu,third,Upgrade,$14.99,1,2/17/2015,2/26/2015,BBTS,10356539,,$14.99,"$5,655.16"
IF-EX03,"IF-EX03 Set of 3 (Sonictech,Bassrhino,Leotrible)",Blaster,"Steeljaw, Ramhorn",Autobot,IDW,,,Iron Factory,third,Legends,$45.99,1,2/17/2015,2/26/2015,BBTS,10356539,,$45.99,"$5,701.15"
